FDI,Property Time,Cost Procedures,Business Time,Business Procedure,Tribute Time,Government Spending,Exchange,Inflation,gdp_pc,Unemployment,Tax Burden,Diversity,Quality,Shadow Economy,Autocracy,Closed Anocracy,Democracy,Dem. Full,Dem. Interregnum,Dem. Interruption,Open Anocracy,Dem. Transition
2.68990096507093,51.0,12.8,30.0,14.0,453.0,13.6335132595631,40.4026733790382,23.1711649813124,8977.50685093365,7.837,70.4824,2.4603512,0.76,21.87,0,0,1,0,0,0,0,0
1.20643922647566,51.0,16.1,25.0,14.0,453.0,15.903896746884,34.0571269054879,15.3776493708921,8184.38988923991,8.645,70.2559,2.3446772,0.76,22.97,0,0,1,0,0,0,0,0
2.67516171886537,51.0,20.7,24.5,14.0,453.0,15.1637178886417,34.9710132635696,20.915124272047,10385.9644319555,7.714,69.5,2.4920745,0.78,21.64,0,0,1,0,0,0,0,0
2.04465997872008,51.5,17.7,24.5,14.0,415.0,15.6889565165983,35.2061549999644,23.7034721839593,12848.7391514568,7.18,68.7,2.4715674,0.79,20.8,0,0,1,0,0,0,0,0
2.80667189982932,51.5,15.4,24.5,14.0,405.0,16.6454378106252,30.5265423717108,22.3148806733049,13082.664325572,7.217,65.5,2.509167,0.78,21.62,0,0,1,0,0,0,0,0
1.77920553648531,51.5,23.2,24.5,14.0,405.0,16.8062377968797,29.3339290021037,23.9487984162746,13080.2547323367,7.1,64.3,2.5459228,0.77,21.57,0,0,1,0,0,0,0,0
0.962406650325519,51.5,17.7,24.5,14.0,405.0,16.9498757371062,28.4067936452275,40.2829716315506,12334.7982453893,7.268,63.5,2.6033194,0.74,22.02,0,0,1,0,0,0,0,0
6.90990201303095,6.0,7.0,18.0,10.0,501.1,9.3562321018201,73.0706339919371,6.27859410767147,1166.63820390025,18.17525,90.0,3.5628633,0.84,43.57,0,0,0,0,0,0,1,0
5.96010687349521,6.0,6.1,18.0,10.0,572.0,9.71001179777312,70.1397385835334,3.20875666635281,1608.16340758242,18.17525,89.9,3.9226487,0.84,41.03,0,0,0,0,0,0,1,0
7.30731450469504,5.0,5.1,17.0,9.0,572.0,9.26564058035311,61.0301379818566,4.61801250818827,2109.5263835731,18.17525,90.0,3.4526899,0.82,41.38,0,0,0,0,0,0,1,0
