"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Turkey","186","Export Diversification Index","total_theil","Value","2.0939312","2.1679068","2.1589127","2.071785","2.0600426","2.0215974","2.0000465","2.0513895","2.0371094","2.0747347","2.0305004","2.0849981","2.0690398","2.0381906","1.9875175","1.9494823","1.8995982","1.8609407","1.7687877","1.8542536","1.8054969","1.7915237","1.7589029","1.8115044",
"Tanzania","738","Export Diversification Index","total_theil","Value","3.0173819","3.3531249","3.1829302","3.1663861","3.3115246","3.2855237","3.2397766","3.1479962","3.0921965","3.1368632","3.0889537","2.9851818","2.753124","2.6428452","2.669719","2.6078463","2.5434144","2.3399963","2.54966","2.662092","2.5840061","2.4361875","2.6489761","2.5984907",
"Uganda","746","Export Diversification Index","total_theil","Value","5.2713785","4.7961798","4.3991585","5.2423272","5.0980721","4.8171263","4.8332052","4.6607528","4.736062","3.944129","3.5211892","3.4417615","3.1656964","3.0588059","3.1025393","3.0082707","2.5183709","2.7323289","2.6409137","2.7899141","2.8204374","2.6217604","2.5478079","2.5593486",
"Ukraine","926","Export Diversification Index","total_theil","Value","0","2.5364747","2.5159531","2.4065149","2.3009622","1.5997839","1.7051203","1.7557073","1.8220336","1.8685913","1.7995807","1.8625106","1.7982746","1.9194983","1.8941443","1.914801","1.8489845","2.0103354","1.8834453","1.986325","2.0458703","2.0351582","2.0246134","2.0609472",
"Uruguay","298","Export Diversification Index","total_theil","Value","2.3579483","2.1772873","2.2089384","2.2624762","2.0612414","2.1831164","2.2084074","2.1454144","2.1734574","2.3045077","2.2408342","2.3640873","2.4185331","2.3796804","2.2341695","2.4377899","2.2559969","2.4146264","2.4812155","2.712291","2.6604424","2.7810652","2.8718288","2.8936486",
"Ghana","652","Export Diversification Index","total_theil","Value","4.1516719","4.071136","4.0525703","3.9557822","3.8839588","3.920331","3.8615451","3.7818303","3.6828837","3.6546772","3.638092","3.7087111","3.7960448","3.912828","3.778754","3.7435384","3.8937192","4.0310683","4.0844803","4.2867322","4.0510907","4.0996599","4.0439219","4.1828656",
"Germany","134","Export Diversification Index","total_theil","Value","1.3857431","1.4437833","1.4210731","1.4190452","1.4341896","1.4793488","1.4911363","1.5461304","1.5967028","1.616564","1.6401323","1.6734575","1.6863261","1.6786172","1.6690236","1.6573217","1.6625469","1.6224655","1.6064748","1.6992611","1.7016743","1.7149619","1.7147706","1.7395089",
"Djibouti","611","Export Diversification Index","total_theil","Value","2.0522182","2.2751853","2.0153475","2.2282789","1.9610753","2.3762748","2.505481","2.3113408","2.1080158","2.1614594","1.7949649","2.0731623","2.6919949","2.3854544","2.2962916","2.6417322","4.6870155","4.0963116","3.6765311","3.8995657","3.5968573","3.2222455","3.5916781","3.7731085",
"Lesotho","666","Export Diversification Index","total_theil","Value","0","0","0","0","0","0","0","0","0","5.2052422","5.4249058","5.5688972","5.6266155","5.462111","5.2707396","5.1635933","5.1007032","5.1928258","5.1534224","4.5935731","4.7433529","4.6444287","4.6501536","4.8402486",
"Lithuania","946","Export Diversification Index","total_theil","Value","0","2.57778","2.882983","1.8912652","1.757969","1.9543415","1.8842726","1.9860771","2.0714512","2.0772638","2.1086044","2.0325959","2.0062339","1.9280903","1.8365198","1.7506294","1.7247878","1.7891923","1.8149724","2.5834525","2.7504103","2.690146","2.6555171","2.2012141",
"Luxembourg","137","Export Diversification Index","total_theil","Value","0","0","0","0","0","0","0","0","2.0269542","2.0750592","2.0554285","2.1105881","2.2249179","2.215533","2.2317343","2.4038568","2.328002","2.358532","2.1471992","2.0927997","2.1406925","2.1343417","2.1287463","2.0638459",
"Tuvalu","869","Export Diversification Index","total_theil","Value","5.0132504","3.9075689","2.9901743","4.2176762","3.8352814","3.7757726","3.7845459","3.445116","3.2673895","2.5044322","2.8623009","2.6551359","3.1626267","3.7046309","2.6266842","3.509722","2.7872398","2.3091052","4.1244364","4.9938722","5.1117063","4.8602858","5.5280862","4.4405804",
"Armenia, Republic of","911","Export Diversification Index","total_theil","Value","0","3.7063415","4.530025","5.4170184","4.4780779","3.4723241","3.0107863","3.1507018","3.6026123","3.307951","3.042546","3.6763594","3.9217231","3.5628633","3.9226487","3.4526899","2.9668126","3.1714833","3.2241375","3.3659539","3.1776254","2.9204931","3.2387195","3.4184322",
"Niger","692","Export Diversification Index","total_theil","Value","5.2862573","5.9492183","5.6003933","5.1896782","4.0050864","4.525444","5.1098571","5.1854858","5.1045575","5.0449238","3.8684266","3.5750082","4.3842173","3.8061483","4.1317563","4.9016104","5.3411927","3.5050168","5.6452541","5.5666695","5.8358822","5.152493","5.0400901","5.2105722",
"Nigeria","694","Export Diversification Index","total_theil","Value","6.0034904","6.0770354","5.9849162","5.8999729","5.7240448","5.9368529","5.9416251","5.7868514","5.8333006","6.0378981","5.8821096","5.7646546","5.8415294","5.9638844","6.0052109","5.9934726","5.937099","5.8503361","5.8348775","5.5376334","5.5681806","5.6205397","5.7755241","5.6204624",
"Nicaragua","278","Export Diversification Index","total_theil","Value","3.461118","2.9507732","3.2544937","3.2136195","3.3085065","3.1653187","3.0468149","3.3695641","3.3553333","3.2979612","3.1259758","3.2411005","3.2414901","3.2241595","3.2866867","3.3396409","3.2297907","3.1630392","3.2132618","3.3105407","3.2104695","3.1654191","3.3305507","3.3698566",
"Netherlands","138","Export Diversification Index","total_theil","Value","1.1731361","1.1531451","1.2099583","1.178799","1.2196505","1.2785391","1.3157593","1.341985","1.3692273","1.5471332","1.4229224","1.3831896","1.4406989","1.4553338","1.4434353","1.4455781","1.4399661","1.4644482","1.4422227","2.1010602","1.9062451","2.2436399","2.0067468","1.9512398",
"Gibraltar","823","Export Diversification Index","total_theil","Value","3.2366836","2.869307","3.2384229","3.2788422","3.6631041","3.7666893","3.6214323","3.5624163","3.6701028","3.3471403","4.4095626","3.7717547","4.4114094","4.2208257","4.8288822","4.176784","4.0032806","3.6672206","3.8917673","4.5234342","4.9322367","5.2987924","4.9805884","5.8963394",
"Guinea","656","Export Diversification Index","total_theil","Value","5.3288336","5.2277193","5.067235","5.0042739","4.7864785","4.9030709","4.6890926","4.6785712","4.6336207","4.7337632","4.7111144","4.5055914","4.3145199","4.4211407","4.4779277","4.1924267","4.4036484","4.4318848","4.7735357","4.315258","3.5086763","4.6605201","4.5983381","4.8622084",
"Gambia, The","648","Export Diversification Index","total_theil","Value","4.8349018","5.0241957","4.3397036","4.3456392","4.81671","5.0329385","5.1436791","4.7561836","4.5656271","3.466388","3.0273275","3.2283299","3.136291","3.0013285","3.1565928","3.5133686","3.3506746","3.8735921","3.4675362","3.342447","3.2880921","3.7766175","4.0766006","3.98785",
"Guinea-Bissau","654","Export Diversification Index","total_theil","Value","4.7138987","4.1237574","4.5865655","4.6926718","4.5322537","4.633801","4.8234372","3.3737538","4.9112315","5.286418","5.4905257","4.8249159","4.7080626","5.2562814","5.8397794","5.4609671","5.6180282","5.9465384","5.8187919","4.7607393","5.0540633","5.454021","5.0232463","5.2417808",
